station_code,station_name,state,zone
NLA,Nancherla,AP,SCR
NLBR,Nilambazar,AS,NFR
NLC,Naliya Cant.,,
NLD,Nalanda,BR,ECR
NLDA,Nalgonda,AP,SCR
NLDM,Nangal Dam,PB,NR
NLE,Nileshwar,KL,SR
NLH,Naultha,HR,NR
NLI,Namli,MP,WR
NLK,Navlakhi,,
NLKR,Nilokheri,HR,NR
NLN,Nailalung,AS,NFR
NLP,North Lakhimpur,,
NLPD,Nallapadu Junction,AP,SCR
NLQ,Nangal Pathani Halt,HR,NWR
NLR,Nellore,AP,SCR
NLRD,Necklace Road,AP,SCR
NLS,Nellore South,AP,SCR
NLSF,Niyalish Para,WB,ER
NLV,Nalbari,AS,NFR
NLY,Naliya,,
NM,Naimisharanya,UP,NR
NMA,Nirmali,BR,ECR
NMBR,N Mayurbhanj Road,OR,SER
NMD,Nomoda,RJ,WCR
NMDA,New Morinda Junction,,
NMDR,Nimdanri,WB,ER
NMF,Nimo,WB,ER
NMG,Nimiaghat,JH,ECR
NMGT,Nimshirgaon Tamdalge,MH,CR
NMGY,Numaligarh,AS,NFR
NMH,Nimach,MP,WR
NMJ,Needamangalam,TN,SR
NMK,Nim Ka Thana,RJ,NWR
NMKA,Namkhana,WB,ER
NML,Nellimarla,AP,ECoR
NMM,Newmisamari,,
NMN,Namanasamudram,TN,SR
NMP,Nimpura,WB,SER
NMT,Namtiali,AS,NFR
NMX,New Maynaguri,WB,NFR
NMZ,New Mal Junction,WB,NFR
NN,Nandura,MH,CR
NNA,Naugachia,BR,ECR
NNE,Nonera,MP,NCR
NNGE,Narangi,AS,NFR
NNGL,Naya Nangal,PB,NR
NNKR,Nanaksar,PB,NR
NNL,Narnaul,HR,NWR
NNM,Nannilam,,
NNN,Nanguneri,TN,SR
NNNL,Nandani Lagunia,BR,ECR
NNO,Nangloi,DL,NR
NNP,Nanpara Junction,UP,NER
NNPR,Nonapar,UP,NER
NNR,Narayanpur,BR,ECR
NNU,Nangal Mundi,HR,NWR
NNW,Narayanpur Tatwar,RJ,WCR
NNX,Nanauta,UP,NR
NOA,Nosaria,,
NOG,Nogongassam,,
NOH,Nigohi,UP,NER
NOI,Nariaoli,MP,WCR
NOK,Garhnokha,RJ,NWR
NOL,Niyol,GJ,WR
NOLI,Noli,UP,NR
NOMD,Noamundi,JH,SER
NOQ,New Alipurduar,WB,NFR
NOY,Noyal,,
NPB,Nagapattinam Beach,TN,SR
NPD,Nawapara Road,CG,ECoR
NPI,Nipania,CG,SECR
NPJE,Nichitpur,JH,ECR
NPK,North Panakudi,TN,SR
NPKM,Nandiyampakkam,TN,SR
NPL,Nagalapalle,AP,SCR
NPM,Nellikuppan,TN,SR
NPMR,Narayan Pakuria,WB,SER
NPNR,Nepanagar,MP,CR
NPR,Nepalganj Road,UP,NER
NPRD,Nagpur Road,CG,SECR
NPS,Napasar,RJ,NWR
NPT,Narasingampet,TN,SR
NPU,Nadiapur,TR,NFR
NPV,Narpatganj,BR,ECR
NPW,Nipani Vadgaon,MH,CR
NPX,Narindarpura,PB,NR
NQH,New Domohani,WB,NFR
NQR,Naraj Marthapur,OR,ECoR
NR,Niphad,MH,CR
NRA,Nunkhar,UP,NER
NRD,Naroda,GJ,WR
NRDP,Nagireddipalli,AP,SCR
NRE,Nandalur,AP,SCR
NRG,Nergundi,OR,ECoR
NRGO,Narganjo Halt,BR,ER
NRGR,Naranjipur,MP,WR
NRI,Naraina,RJ,NWR
NRJ,Narimogaru,KA,SWR
NRK,Naraikkinar,TN,SR
NRKE,Nari Khetri,RJ,NWR
NRKP,Narkopi,JH,SER
NRKR,Narkher,MH,CR
NRL,Neral Junction,MH,CR
NRLR,Norla Road,OR,ECoR
NRM,Nurmahal,PB,NR
NRN,Narhan,BR,ECR
NRNR,Nurnagar,UP,NR
NRO,Nakodar Junction,PB,NR
NROD,Nari Road,GJ,WR
NRP,Narsipatnam Road,AP,SCR
NRPA,Narayanpur Anant,BR,ECR
NRPD,Narayanpet Road,KA,SCR
NRPM,Narayanpur Murli Halt,BR,ECR
NRPR,Narendrapur Halt,WB,ER
NRR,Nagarur,AP,SCR
NRS,Nagaria Sadat,UP,NR
